word,err,n
bolshevik,0.200,5
issei,0.200,5
sufflaminate,0.200,5
roodebok,0.200,5
dreidel,0.200,5
quixote,0.200,5
corpuscle,0.200,5
rapport,0.200,5
gauche,0.200,5
einkorn,0.000,5
paparazzo,0.000,5
beetewk,0.000,5
bobbejaan,0.000,5
charpoy,0.000,5
anachronism,0.000,5
cacophony,0.000,5
euphemism,0.000,5
misogynist,0.000,5
barukhzy,0.000,5
dichotomy,0.000,5
purlieu,0.000,5
batik,0.000,5
calypso,0.000,5
chassis,0.000,5
wiccan,0.000,5
facetious,0.000,5
eocene,0.000,5
innocuous,0.000,5
jeremiad,0.000,5
efficacy,0.000,5
salaam,0.000,5
vorlage,0.000,5
halal,0.000,5
commensurate,0.000,5
pogrom,0.000,5
punctilio,0.000,5
rejoneador,0.000,5
rottweiler,0.000,5
tahini,0.000,5
foggara,0.000,5
belligerent,0.000,5
mnemonic,0.000,5
quisling,0.000,5
hierarchy,0.000,5
bromeliad,0.000,5
croesus,0.000,5
zucchini,0.000,5
visceral,0.000,5
serendipity,0.000,5
fantoccini,0.000,5
zephyr,0.000,5
metonymy,1.000,4
sidereal,0.750,4
tachytely,0.750,4
damoclean,0.750,4
manducatory,0.750,4
nepenthe,0.750,4
procellous,0.750,4
termagancy,0.750,4
senary,0.750,4
ferrule,0.750,4
ginglymus,0.750,4
patois,0.500,4
styptic,0.500,4
entente,0.500,4
sciatica,0.500,4
bobadil,0.500,4
dolcissimo,0.500,4
rayonnant,0.500,4
connoisseur,0.500,4
novercal,0.500,4
schloss,0.500,4
kwashiorkor,0.500,4
sessile,0.500,4
deliquesce,0.500,4
penicillin,0.500,4
faineant,0.500,4
apolaustic,0.500,4
girandole,0.500,4
meniscus,0.500,4
kaiserdom,0.500,4
ennui,0.500,4
zucchetto,0.500,4
graupel,0.500,4
strychnine,0.500,4
oppugn,0.500,4
melittologist,0.500,4
clerisy,0.500,4
apocryphal,0.500,4
soavemente,0.250,4
nugacious,0.250,4
oubliette,0.250,4
fissiparous,0.250,4
panegyric,0.250,4
blasé,0.250,4
hegemony,0.250,4
mukhtar,0.250,4
indicia,0.250,4
algorithm,0.250,4
anodyne,0.250,4
affenpinscher,0.250,4
dowager,0.250,4
caisson,0.250,4
zaibatsu,0.250,4
infinitesimal,0.250,4
glasnost,0.250,4
serictery,0.250,4
buran,0.250,4
cataphract,0.250,4
oscitancy,0.250,4
cheka,0.250,4
borzoi,0.250,4
subrident,0.250,4
rorschach,0.250,4
acuminate,0.250,4
koinonia,0.250,4
echelon,0.250,4
alim,0.250,4
tularemia,0.250,4
menhaden,0.250,4
querimonious,0.250,4
prolegomenon,0.250,4
diaphoresis,0.250,4
quodlibet,0.250,4
jalousie,0.250,4
garçon,0.250,4
leucoryx,0.250,4
discalced,0.250,4
guillotine,0.250,4
jacquerie,0.250,4
ditokous,0.250,4
graveolent,0.250,4
prerogative,0.250,4
luftmensch,0.250,4
keest,0.250,4
anschluss,0.250,4
coeval,0.250,4
myrmidon,0.000,4
escargot,0.000,4
fête,0.000,4
mélange,0.000,4
indigenous,0.000,4
moloch,0.000,4
maelstrom,0.000,4
sapiential,0.000,4
alkali,0.000,4
minaret,0.000,4
euthanasia,0.000,4
romaji,0.000,4
soporific,0.000,4
perennial,0.000,4
comandante,0.000,4
vernacular,0.000,4
hermeneutics,0.000,4
thoracic,0.000,4
durwan,0.000,4
hoomalimali,0.000,4
pneumatic,0.000,4
uitlander,0.000,4
tertiary,0.000,4
coloratura,0.000,4
nimiety,0.000,4
tungsten,0.000,4
waterzooi,0.000,4
realschule,0.000,4
asthmogenic,0.000,4
buddha,0.000,4
impecuniously,0.000,4
grobian,0.000,4
retrocedence,0.000,4
zeppelin,0.000,4
meiji,0.000,4
paladin,0.000,4
urticant,0.000,4
brummagem,0.000,4
prabhu,0.000,4
cachinnate,0.000,4
profligacy,0.000,4
narcissistic,0.000,4
fuselage,0.000,4
carafe,0.000,4
psilosis,0.000,4
mesmerize,0.000,4
tritium,0.000,4
zeitgeber,0.000,4
holi,0.000,4
usufructuary,0.000,4
tatterdemalion,0.000,4
ptomaine,0.000,4
ephemeral,0.000,4
hemerocallis,0.000,4
lederhosen,0.000,4
trianon,0.000,4
lahar,0.000,4
tamarind,0.000,4
dachshund,0.000,4
