origin,pct,n
dar +,1.000,1
American Spanish (,1.000,1
perhaps from Latin,1.000,2
modification of Portuguese and Spanish,1.000,1
irregular from Medieval Latin,1.000,2
a stone in Blarney Castle,1.000,1
Jules,1.000,1
partly modification of French,1.000,2
atin + Latin,1.000,1
ic acid +,1.000,1
John,1.000,6
Polish & Ukrainian,1.000,1
irregular (influenced by English,1.000,1
perhaps from Middle Dutch,1.000,1
Mountains,1.000,1
(from New Latin,1.000,2
coined by Robert H. Link †1957 American scoutmaster,1.000,1
Basque,1.000,1
+ obsolete English,1.000,5
rmation + auto,1.000,1
probably from obsolete Dutch,1.000,1
by folk etymology from Spanish,1.000,1
Spanish & Portuguese,1.000,5
Late Latin or Medieval Latin,1.000,1
German dialect (Austria),1.000,1
Yiddish (plural of,1.000,3
borrowed from French,1.000,2
from Greek,1.000,4
from the fact that the phrase,1.000,1
short for Japanese,1.000,2
le + buff,1.000,1
from its appearance in a portrait of Mme. Récamier by Jacques-Louis David,1.000,1
ity +,1.000,1
island and district in Venice,1.000,1
Aegean Sea,1.000,5
Indonesian Malay,1.000,2
ty +,1.000,3
obsolete French (now,1.000,2
ic +,1.000,1
modification of obsolete Italian,1.000,1
Latin; probably akin to Latin,1.000,1
Tibetan,1.000,1
probably euphemism for,1.000,1
(from Medieval Latin,1.000,1
Lord,1.000,3
ic botanical +,1.000,1
Edmund,1.000,2
native name in Dahomey,1.000,1
ace-,1.000,1
probably from Chinese (Guangdong),1.000,1
Sir William,1.000,1
by contraction,1.000,2
from its resemblance to a cat's tail,1.000,1
Catalan,1.000,2
modification of obsolete German,1.000,1
of Algonquian origin; akin to Narraganset,1.000,1
Scots,1.000,2
American French (Haiti),1.000,1
cren- +,1.000,1
Egyptian,1.000,3
probably from Queen,1.000,1
Hindi & Marathi,1.000,1
of Parma,1.000,1
perhaps modification of Spanish,1.000,1
perhaps from Creek,1.000,1
Aramaic & Hebrew,1.000,2
Middle English & Late Latin; Middle English,1.000,1
Greece,1.000,1
probably akin to Old English,1.000,1
Greenland,1.000,2
(as in Anglo-French,1.000,1
Swahili,1.000,1
irregular from Late Greek,1.000,1
town in Italy,1.000,1
Fore (language of eastern highland Papua New Guinea),1.000,1
Romanian,1.000,1
Middle French  — more at,1.000,1
Latin/French & Late Latin; French,1.000,1
modification (influenced by Latin,1.000,1
(noun),1.000,1
perhaps modification of Italian,1.000,1
region of Italy,1.000,1
character in prose romances by John Lyly,1.000,1
Phillippine Spanish,1.000,1
enile + New Latin,1.000,1
probably from Latin,1.000,2
Latin; akin to Latin,1.000,1
modification of German,1.000,1
nickname for,1.000,1
Old Norse & Old English,1.000,1
ernity + sor,1.000,1
(Mackinac),1.000,1
from the first six letters in the second row of the keyboard,1.000,2
Fox (Algonquian language of the Fox,1.000,1
ght + ra,1.000,1
ultimately from Italian,1.000,1
Middle French & Greek; Middle French,1.000,1
probably by shortening & alteration from (,1.000,1
+ circum,1.000,1
after John P.,1.000,1
probably modification of Hindi,1.000,6
atron + trans,1.000,1
able +,1.000,1
Chinese (Guangdong),1.000,3
from German,1.000,2
ious +,1.000,1
Yoruba,1.000,1
alteration of English dialect,1.000,1
New Latin & Latin,1.000,1
Brazilian Protuguese,1.000,1
D,1.000,1
+ French,1.000,1
perhaps frequentative of,1.000,2
probably ultimately from,1.000,1
borrowed from Pashto,1.000,5
part translation of German,1.000,3
perhaps from Evenki (Tungusic language of Siberia),1.000,1
Trinidad English,1.000,5
of Bantu origin; akin to Venda,1.000,1
oon + parach,1.000,1
G. L. von,1.000,1
Arabic dialect,1.000,5
study of bees (from Greek,1.000,2
Italian & French; French,1.000,1
(league),1.000,1
Danish,1.000,1
Shawnee,1.000,1
Tain-l',1.000,1
(of the ear),1.000,1
Middle French & Medieval Latin; Middle French,1.000,1
obsolete Dutch (now,1.000,3
Louis,1.000,3
alteration (from incorrect division of,1.000,1
probably from Greek,1.000,1
perhaps from French,1.000,1
vision-,1.000,1
perhaps alteration of earlier,1.000,1
probably contraction of,1.000,1
Latin & New Latin,1.000,1
on +,1.000,1
by folk etymology from obsolete Dutch,1.000,1
mena +,1.000,2
l,1.000,1
Portuguese or Spanish,1.000,1
+ chlor,1.000,1
after Sir Edmund Beckett,1.000,2
Vidkun,1.000,4
native name in Africa,1.000,1
Judas,1.000,1
probably ultimately from Catawba (Spanish spelling),1.000,1
; intended as translation of German,1.000,1
Alexander B.,1.000,1
Welsh,1.000,4
perhaps from Middle French dialect (Norman),1.000,1
al +,1.000,1
from its possession by the heroes of the Persian fairy tale,1.000,5
(in) +,1.000,1
ultimately from New Latin,1.000,2
derm +,1.000,2
ological +,1.000,1
perhaps from Patrick,1.000,2
probably from Italian dialect; akin to Italian dialect (Lombardy),1.000,1
Francis,1.000,1
Pennsylvania German,1.000,3
Germany,1.000,1
probably from Spanish,1.000,1
+ acro,1.000,1
museum in Florence,1.000,1
native name in British Guiana,1.000,1
taneous broad,1.000,1
Medieval Latin hi,1.000,1
borrowed from Sanskrit,1.000,1
Dan & German; Dan,1.000,1
Middle French & Old Italian; Middle French,1.000,3
mollusk (from,1.000,1
French & Spanish; French,1.000,1
modification of Scottish Gaelic,1.000,3
dine +,1.000,1
Wiradhuri (Australian aboriginal language of central New South Wales),1.000,2
short for obsolete,1.000,1
from Spanish,1.000,1
Mexican Spanish (,1.000,2
dar,1.000,1
Italy,1.000,1
from the pattern left by the soles,1.000,1
village in Piedmont region of Italy,1.000,1
AmerSp. literally,1.000,1
atic + fr,1.000,1
singular of,1.000,1
perhaps by shortening & alteration from,1.000,1
ate +,1.000,3
G. B.,1.000,1
Henry,1.000,1
George John,1.000,1
James Thomas Brudenell,1.000,2
Chinese (Pekingese),1.000,1
town in Ireland,1.000,1
Anglo-French or Latin; Anglo-French,1.000,1
(irregular from Archibald,1.000,1
of Bantu origin; akin to Bemba,1.000,1
André-Marie,1.000,1
Somali,1.000,2
Latin (genitive,1.000,2
French or Italian,1.000,1
modification of Malay,1.000,2
perhaps from German dialect (Swabia),1.000,1
English dialect,1.000,3
coined by Milton Sirotta,1.000,1
trade name,1.000,2
Italian dialect (16th century,1.000,1
Henry Peter,1.000,1
Old English; akin to Old High German,1.000,1
(a crude musical instrument made of pipes and a funnel),1.000,1
; from the finely lined surface of the jaws,1.000,1
probably from Middle French,1.000,1
perhaps irregular from obsolete,1.000,1
+ a,1.000,1
error for Latin,1.000,1
borrowed from Japanese,1.000,1
Middle Low German,1.000,2
Amharic,1.000,1
probably alteration of Middle English,1.000,1
by alteration,1.000,1
native name in Uganda,1.000,1
(net),1.000,1
Shona,1.000,1
Spanish dialect,1.000,2
James P.,1.000,1
Italian & Spanish; Italian,1.000,5
perhaps of Irish origin; akin to Scottish Gaelic,1.000,1
of Algonquian origin; akin to Ojibwa,1.000,1
French or Italian; French,1.000,2
probably from Middle English,1.000,1
Malay dialect (Java),1.000,5
Inuit,1.000,1
Grand,1.000,1
perhaps from English dialect,1.000,1
Malay,1.000,4
French & Late Latin; French,1.000,1
probably modification of Portuguese,1.000,1
alteration (influenced by,1.000,2
obsolete German (now,1.000,3
Aramaic,1.000,2
Sechuana,1.000,1
Na,1.000,1
phone +,1.000,3
Malay/Tagalog,1.000,1
Mount,1.000,2
italic +,1.000,1
probably a misunderstanding by Sir Walter Scott of Middle English,1.000,1
Yemen,1.000,1
Occitan,1.000,2
short for Swedish,1.000,1
Breton,1.000,1
Flemish,1.000,3
perhaps from Greek,1.000,1
+ vine,1.000,1
New Greek,1.000,2
Papuan,1.000,1
Mishmi (Tibeto-Burman language of northeast India),1.000,1
Mayan,1.000,1
by folk etymology from French dialect,1.000,2
(from Latin,1.000,6
probably from Middle Greek,1.000,5
Latin; perhaps akin to Latin,1.000,2
in +,1.000,1
Shoshone,1.000,1
German dialect (Alemannic),1.000,5
ion +,1.000,1
19th century American stallion,1.000,1
from the base of New Latin,1.000,2
Italian (plural),1.000,1
Middle English/Middle French,1.000,1
Old Spanish,1.000,2
Malay dialect,1.000,1
Russian dialect,1.000,1
Wyandot,1.000,2
modification of Dutch,1.000,2
Late Latin & Latin; Late Latin,1.000,2
; from the fact that the remains of such sheep are found in turbaries of the period,1.000,1
obsolete Italian,1.000,5
+ connective,1.000,1
